,Title,Author,Abstract,Link,Number,Date,Source
NBER31485,Tell Me Something I Don’t Already Know: Learning in Low and High-Inflation Settings,"['Michael Weber', 'Bernardo Candia', 'Tiziano Ropele', 'Rodrigo Lluberas', 'Serafin Frache', 'Brent H. Meyer', 'Saten Kumar', 'Yuriy Gorodnichenko', 'Dimitris Georgarakos', 'Olivier Coibion', 'Geoff Kenny', 'Jorge Ponce']","Using randomized control trials (RCTs) applied over time in different countries, we study how the economic environment affects how agents learn from new information. We show that as inflation has recently risen in advanced economies, both households and firms have become more attentive and informed about inflation, leading them to respond less to exogenously provided information about inflation and monetary policy. We also study the effects of RCTs in countries where inflation has been consistently high (Uruguay) and low (New Zealand) as well as what happens when the same agents are repeatedly provided information in both low- and high-inflation environments (Italy). Our results broadly support models in which inattention is an endogenous outcome that depends on the economic environment.",https://www.nber.org/papers/w31485,31485,July 2023,NBER
ECB2825,Liquidity buﬀers and open-end investment funds: containing outﬂows and reducing ﬁre sales,"Liquidity buﬀers and open -end investment funds: containing outﬂows and reducing ﬁre sales Lennart Dekker , Luis Molestina Vivar , Michael Wedow , Christian Weistroﬀer","Using a sample of open-end corporate bond funds domiciled in the euro area, we exploit the COVID-19 market turmoil in March 2020 to examine two channels through which liquidity buﬀers can reduce procyclicality in the investment fund sector. First, we ﬁnd that liquidity buﬀers reduced outﬂows during March 2020 only to a limited extent. Second, we ﬁnd that funds entering the crisis with higher liquidity buﬀers were less likely to involve in cash hoarding and more likely to use cash buﬀers to meet outﬂows. Our results suggest that higher liquidity buﬀers can reduce procyclicality primarily through supporting the liquidity management strategies employed by fund managers.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2825~a17cb43e86.en.pdf,2825,"Tue, 06 Jun 2023 11:00:00 +0200",ECB
FED-BOARD2023-003,The Information Value of Past Losses in Operational Risk,Filippo Curti and Marco Migueis,"Operational risk is a substantial source of risk for US banks. Improving the performance of operational risk models allows banks’ management to make more informed risk decisions by better matching economic capital and risk appetite, and allows regulators to enhance their understanding of banks’ operational risk. We show that past operational losses are informative of future losses, even after controlling for a wide range of financial characteristics. We propose that the information provided by past losses results from them capturing hard to quantify factors such as the quality of operational risk controls, the risk culture, and the risk appetite of the bank.",https://www.federalreserve.gov/econres/feds/the-information-value-of-past-losses-in-operational-risk.htm,2023-003,January 2023,FED-BOARD
NBER31496,"Pandemic, War, Inflation: Oil Markets at a Crossroads?",['Christiane Baumeister'],"The COVID-19 pandemic as well as the Russian invasion of Ukraine have had profound effects on the global energy landscape, with some of the longer-lasting effects still unfolding. This paper discusses how these events have reshaped the supply side of the global oil market by focusing on structural changes in each of the three main oil-producing countries. The demand side has responded to geopolitical developments by devising a set of policy tools to stabilize oil markets and counter inflationary pressures. In particular, the price cap policy was introduced to supplement the EU embargo on seaborne Russian oil exports, and record volumes of oil were released from government-controlled emergency stockpiles. The sources of oil price fluctuations associated with these events are also discussed, as is their role in the recent surge of inflation, with a particular focus on the heterogeneity in the pass-through of oil supply shocks within the Euro area.",https://www.nber.org/papers/w31496,31496,July 2023,NBER
NBER31467,Corporate Tax Disclosure,"['Jeffrey L. Hoopes', 'Leslie Robinson', 'Joel Slemrod']","Policies that require, or recommend, disclosure of corporate tax information are becoming more common throughout the world, as are examples of tax-related information increasingly influencing public policy and perceptions. In addition, companies are increasing the voluntary provision of tax-related information. We describe those trends and place them within a taxonomy of public and private tax disclosure. We then review the academic literature on corporate tax disclosures and discuss what is known about their effects. One key takeaway is the paucity of evidence that many tax disclosures mandated with the aim of increasing tax revenue have produced additional revenue. We highlight many crucial unanswered questions, answers to which would inform future tax legislation and financial accounting rule making.",https://www.nber.org/papers/w31467,31467,July 2023,NBER
NBER31445,The Effects of Cryptocurrency Wealth on Household Consumption and Investment,"['Darren Aiello', 'Scott R. Baker', 'Tetyana Balyuk', 'Marco Di Maggio', 'Mark J. Johnson', 'Jason D. Kotter']","This paper uses transaction-level data across millions of accounts to identify cryptocurrency investors and evaluate how fluctuations in individual crypto wealth affect household consumption, equity investment, and local real estate markets. We estimate an MPC out of unrealized crypto gains that is more than double the MPC out of unrealized equity gains but smaller than the MPC from exogenous cash flow shocks. This MPC is mostly driven by increases in cash/check spending and mortgages. Moreover, households sell crypto to increase both discretionary as well as housing spending. As a result, crypto wealth causes house price appreciation—counties with higher crypto wealth see higher growth in home values following high crypto returns. Our results indicate that cryptocurrencies have substantial spillover effects on the real economy through consumption and investment into other asset classes.",https://www.nber.org/papers/w31445,31445,July 2023,NBER
NBER31506,Strategyproofness-Exposing Mechanism Descriptions,"['Yannai A. Gonczarowski', 'Ori Heffetz', 'Clayton Thomas']","A menu description presents a mechanism to player i in two steps. Step (1) uses the reports of other players to describe i’s menu: the set of i’s potential outcomes. Step (2) uses i’s report to select i’s favorite outcome from her menu. Can menu descriptions better expose strategyproofness, without sacrificing simplicity? We propose a new, simple menu description of Deferred Acceptance. We prove that—in contrast with other common matching mechanisms—this menu description must differ substantially from the corresponding traditional description. We demonstrate, with a lab experiment on two elementary mechanisms, the promise and challenges of menu descriptions.",https://www.nber.org/papers/w31506,31506,July 2023,NBER
BIS1107,Financial heterogeneity and monetary union," Simon Gilchrist, Raphael Schoenle, Jae Sim and Egon Zakrajšek",We explain the slow adjustment in the price levels between the core and periphery by introducing financial frictions and customer markets into the conventional international macroeconomic model...,http://www.bis.org/publ/work1107.htm,1107,2023-07-04T12:00:00Z,BIS
FED-NEWYORK1064,"Global Liquidity: Drivers, Volatility and Toolkits",Linda S. Goldberg,"Global liquidity refers to the volumes of financial flows—largely intermediated through global banks and non-bank financial institutions—that can move at relatively high frequencies across borders. The amplitude of responses to global conditions like risk sentiment, discussed in the context of the global financial cycle, depends on the characteristics and vulnerabilities of the institutions providing funding flows. Evidence from across empirical approaches and using granular data provides policy-relevant lessons. International spillovers of monetary policy and risk sentiment through global liquidity evolve in response to regulation, the characteristics of financial institutions, and actions of official institutions around liquidity provision. Strong prudential policies in the home countries of global banks and official facilities reduce funding strains during stress events. Country-specific policy challenges, summarized by the monetary and financial trilemmas, are partially alleviated. However, risk migration across types of financial intermediaries underscores the importance of advancing regulatory agendas related to non-bank financial institutions.",https://www.newyorkfed.org/research/staff_reports/sr1064.html,1064,June 2023,FED-NEWYORK
NBER31465,The Linear Algebra of Economic Geography Models,"['Benny Kleinman', 'Ernest Liu', 'Stephen J. Redding']",We provide sufficient statistics for nominal and real wage exposure to productivity shocks in a constant elasticity economic geography model. These exposure measures summarize the first-order general equilibrium elasticity of nominal and real wages in each location with respect to productivity shocks in all locations. They are readily computed using commonly-available trade data and the values of trade and migration elasticities. They have an intuitive interpretation in terms of underlying economic mechanisms. Computing these measures for all bilateral pairs of locations involves a single matrix inversion and therefore remains computational efficient even with an extremely high-dimensional state space. These sufficient statistics provide theory-consistent measures of locations’ exposure to productivity shocks for use in further economic and statistical analysis.,https://www.nber.org/papers/w31465,31465,July 2023,NBER
NBER31456,Credible Social Planning under Uncertainty,['Charles F. Manski'],"Economists have long studied policy choice by a social planner who aims to maximize welfare in democracies or other political systems where, in some sense, welfare is intended to express the well-being of a society rather than the personal preferences of a dictator. The motivation for studying planning is most transparent when actual planners face specific decision problems. Welfare economics has also sought to shed light on noncooperative societal decision processes, where no actual planner exists. Researchers have generally assumed that the actual or hypothetical planner knows enough about the choice environment to be able to determine an optimal action. However, the consequences of decisions are often highly uncertain. Addressing the failure of research to come to grips with uncertainty has motivated my program of study of credible social planning under uncertainty. This paper describes the main themes and summarizes several applications. I first discuss practices that have promoted planning with incredible certitude, using specific cases to illustrate. I next describe and contrast the conceptions of uncertainty in consequentialist and axiomatic decision theory. I then summarize my studies of five problems of planning under uncertainty.",https://www.nber.org/papers/w31456,31456,July 2023,NBER
BOE1025,"Flexible Bayesian MIDAS: time‑variation, group‑shrinkage and sparsity",David Kohns and Galina Potjagailo,"We propose a mixed‑frequency regression prediction approach that models a time‑varying trend, stochastic volatility and fat tails in the variable of interest. The coefficients of high‑frequency indicators are regularised via a shrinkage prior that accounts for the grouping structure and within‑group correlation among lags. A new sparsification algorithm on the posterior motivated by Bayesian decision theory derives inclusion probabilities over lag groups, thus making the results easy to communicate without imposing sparsity a priori. An empirical application on nowcasting UK GDP growth suggests that group‑shrinkage in combination with the time‑varying components substantially increases nowcasting performance by reading signals from an economically meaningful subset of indicators, whereas the time‑varying components help by allowing the model to switch between indicators. Over the data release cycle, signals initially stem from survey data and then shift towards few ‘hard’ real activity indicators. During the Covid pandemic, the model performs relatively well since it shifts towards indicators for the service and housing sectors that capture the disruptions from economic lockdowns.",https://www.bankofengland.co.uk/working-paper/2023/flexible-bayesian-midas-time-variation-group-shrinkage-and-sparsity,1025,"Fri, 02 Jun 2023 ",BOE
FED-NEWYORK1062,Estimates of Cost-Price Passthrough from Business Survey Data,"Keshav Dogra, Sebastian Heise, Edward S. Knotek II, Brent H. Meyer, Robert W. Rich, Raphael S. Schoenle, Giorgio Topa, Wilbert  van der Klaauw, and Wändi Bruine de Bruin","We examine businesses’ price-setting practices via open-ended interviews and in a quantitative survey module with business contacts from the Federal Reserve Banks of Atlanta, Cleveland, and New York in December 2022 and January 2023. Businesses indicated that their prices were strongly influenced by demand, a desire to maintain steady profit margins, and wages and labor costs. Survey respondents expected reduced growth in costs and prices of about 5 percent on average over the next year. Backward-looking, forward-looking, and hypothetical scenarios reveal average cost-price passthrough of around 60 percent, with meaningful heterogeneity across firms.",https://www.newyorkfed.org/research/staff_reports/sr1062.html,1062,June 2023,FED-NEWYORK
NBER31475,Distributional Weights in Economic Analysis.,"['Robert W. Hahn', 'Nicholas Z. Muller']","The use of distributional weights in economic analysis is receiving increasing attention in both research and policy circles. This paper examines the extent to which distributional weights affect economic analysis of public good provision. We make two contributions. First, we present a model with distributional weights that allows for marginal benefits and costs of the public good to differ across regions and individual characteristics, such as income or race. Samuelson’s analysis of pure public goods is a special case, as are other cases in which marginal benefits and costs may differ by region when the distributional weights are unity. We show how the provision of a pure public good varies with distributional weights different from unity. Second, we analyze distributional weights in conjunction with the value of a statistical life (VSL). We compare the use of an average VSL with differentiated VSLs. We show when using an average VSL will increase or decrease optimal public goods provision relative to differentiated VSLs for given distributional weights. We also identify conditions under which a low-income group prefers using an average VSL to true VSLs. This depends on the fraction of the costs that the low-income group bears in the provision of the public good.",https://www.nber.org/papers/w31475,31475,July 2023,NBER
FED-NEWYORK1050,Quantifying the Inflationary Impact of Fiscal Stimulus under Supply Constraints,"Julian di Giovanni, Şebnem Kalemli-Özcan, Alvaro Silva, and Muhammed A.  Yıldırım","This paper builds on Baqaee and Farhi (2022) and di Giovanni et al. (2022) to quantify the contribution of fiscal policy to U.S. inflation over the December 2019-June 2022 period. Model calibrations show that aggregate demand shocks explain roughly two-thirds of total model-based inflation, and that the fiscal stimulus contributed half or more of the total aggregate demand effect.",https://www.newyorkfed.org/research/staff_reports/sr1050.html,1050,February 2023,FED-NEWYORK
NBER31489,"Housing, Household Debt, and the Business Cycle: An Application to China and Korea",['Amir Sufi'],"China and South Korea both experienced substantial increases in household debt through 2021, and now both countries face a weakening economy. This essay gleans lessons from the “credit-driven household demand channel” (e.g., Mian and Sufi 2018) to explore how the two economies will fare in the years ahead. On the positive side, neither country is at risk of a severe financial crisis, and both countries have a strong current account position. On the negative side, consumer spending in both countries could be quite weak in the years ahead. For China, the biggest risk is that distortions in the production sector aimed at boosting the property market were a major driver of growth during the boom, and it is unclear how growth can continue to be sustained with the property market stumbling.",https://www.nber.org/papers/w31489,31489,July 2023,NBER
FED-BOARD2023-033,Optimal Bidder Selection in Clearing House Default Auctions,Rodney Garratt; David Murphy; Travis Nesmith; Xiaopeng Wu,"Default auctions at central counterparties (or 'CCPs') are critically important to financial stability. However, due to their unique features and challenges, standard auction theory results do not immediately apply. This paper presents a model for CCP default auctions that incorporates the CCP's non-standard objective of maximizing success above a threshold rather than revenue, the key question of who participates in the auction and the potential for information leakage affecting private portfolio valuations. We show that an entry fee, by appropriately inducing members to participate or not, can maximize the probability the auction succeeds. The result is novel, both in auction theory and as a mechanism for CCP auction design.",https://www.federalreserve.gov/econres/feds/optimal-bidder-selection-in-clearing-house-default-auctions.htm,2023-033,May 2023,FED-BOARD
ECB2833,Quantifying financial stability trade-offs for monetary policy: a quantile VAR approach,"Quantifying financial stability trade- offs for monetary policy: a quantile VAR approach Sulkhan Chavleishvili , Manfred Kremer , Frederik Lund -Thomsen","We propose a novel empirical approach to inform monetary policymakers about the potential effects of policy action when facing trade-offs between financial and macroeconomic stability. We estimate a quantile vector autoregression (QVAR) for the euro area covering the real economy, monetary policy and measures of ex ante and ex post systemic risk representing financial stability. Policy implications are derived from scenario analyses where the associated costs and benefits are functions of the projected paths of the potentially asymmetric distributions of inflation and economic growth, allowing us to take a risk management perspective. One exercise considers the intertemporal financial stability trade-off in the context of the global financial crisis, where we find ex post evidence in favour of monetary policy leaning against the financial cycle. Another exercise considers the short-term financial stability trade-off when deciding the appropriate speed of monetary policy tightening to combat inflationary pressures in a fragile financial environment.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2833~99c23821b1.en.pdf,2833,"Mon, 31 Jul 2023 11:00:00 +0200",ECB
NBER31513,Global Transportation Decarbonization,"['David S. Rapson', 'Erich Muehlegger']","A number of policy proposals call for replacing fossil fuels in the name of decarbonization, but these fuels will be difficult to replace due to to their as-yet unrivaled bundle of attributes: abundance, ubiquity, energy density, transportability and cost. There is a growing commitment to electrification as the dominant decarbonization pathway for transportation. While deep electrification is promising for road vehicles in wealthy countries, it will face steep obstacles. In other sectors and in the developing world, it’s not even in pole position. Global transportation decarbonization will require decoupling emissions from economic growth, and decoupling emissions from growth will require not only new technologies, but cooperation in governance. The menu of policy options is replete with tradeoffs, particularly as the primacy of energy security and reliability (over emissions abatement) has once again been demonstrated in Europe and elsewhere.",https://www.nber.org/papers/w31513,31513,July 2023,NBER
FED-BOARD2023-039,The FOMC's Use of Operational Targets: 85 Years and Counting,"Jeffrey Huther, Elizabeth Klee, Kevin Kiernan, and Ethan Rodriguez-Shah","This paper uses summaries of the Federal Open Market Committee’s (FOMC’s) meetings to identify its operational targets and map those to operating regimes. We find that operational targets were more often discussed in the earlier part of the FOMC’s 85-year history, but recent years have seen a resurgence in discussions. We identify distinct operating regimes and find that regimes with discussions of multiple targets, usually rate and quantity pairs, are more common than regimes dominated by discussions of single targets. We document that the current period (the 2007-2009 financial crisis to today) is a notable break in operational targets from earlier periods. We also show that shifts in operational targets occur during recoveries, or after a significant downturn in the macroeconomy.",https://www.federalreserve.gov/econres/feds/the-fomcs-use-of-operational-targets-85-years-and-counting.htm,2023-039,June 2023,FED-BOARD
NBER31518,Is This Time Different? The Safety Net Response to the Pandemic Recession,"['Erik A. Hembre', 'Robert A. Moffitt', 'James P. Ziliak']","The federal government enacted massive spending in the Pandemic Recession. But was this spending scaled to the magnitude of the economic downturn? We examine the responsiveness of the safety net to the Pandemic Recession and compare it to that in the Great Recession. Using monthly state-level administrative caseload data from five large transfer programs–SNAP, TANF, Medicaid, SSI, and UI–and measuring responsiveness in the conventional way as the state-level caseload response to cross-state variation in measures of the business cycle–we find that the safety net response during the Pandemic Recession was greater than occurred during the Great Recession for the most important recessionary-relief programs–UI and SNAP. But we find that the two smaller programs, TANF and SSI, were less responsive during the Pandemic, and we find that Medicaid caseloads are generally unresponsive to the business cycle. We also consider the role of Pandemic state-level policies, such as school and business closures, on caseloads, finding that states with more strict government Pandemic policies had greater caseload increases.",https://www.nber.org/papers/w31518,31518,July 2023,NBER
NBER31450,Caregiving and Labor Supply: New Evidence from Administrative Data,"['Nicole Maestas', 'Matt Messel', 'Yulya Truskinovsky']","A significant share of the rapidly growing demand for long-term care is met by family members, many of whom also work, and family caregiving has been shown to affect labor market outcomes. We use survey responses about family caregiving roles linked to administrative earnings records to estimate the employment trajectories of family caregivers over a 25 year period around the reported start of a caregiving episode. These trajectories vary significantly by gender. Relative to a matched comparison group, caregiving precipitates a drop in both earnings and employment for women, while men only enter caregiving after experiencing significant labor supply disruptions.",https://www.nber.org/papers/w31450,31450,July 2023,NBER
FED-BOARD2023-048,"Your Friends, Your Credit: Social Capital Measures Derived from Social Media and the Credit Market",Jesse Bricker and Geng Li,"Chetty et al. (2022a) introduced an array of social capital measures derived from Facebook friendships and found that one of these indicators, economic connectedness (EC), predicted upward income mobility well. Bricker and Li (2017) proposed the average credit score of a community's residents as an indicator of local social trust. We show in this paper that the average credit scores are robustly correlated with EC, negatively correlated with the friending-bias measure introduced in Chetty et al. (2022b), and predict economic mobility to a comparable extent after controlling for EC. The consistency and complementarity between these two indicators, despite being derived from individuals' activities in distinct contexts, underscore trust as a crucial component of social capital and provide insights that are useful for understanding the formation and accumulation of social capital.",https://www.federalreserve.gov/econres/feds/your-friends-your-credit-social-capital-measures-derived-from-social-media-and-the-credit-market.htm,2023-048,July 2023,FED-BOARD
NBER31470,Relationship between Social Security Programs and Elderly Employment in Japan,"['Takashi Oshio', 'Satoshi Shimizutani', 'Akiko S. Oishi']","This study examines how elderly employment is associated with social security programs and how it responds to recent reforms in Japan. To this end, we employed a rich and longitudinal dataset of middle-aged and older individuals collected between 2005 and 2018. By incorporating various factors related to social security incentives into a single index of implicit tax (ITAX), we confirmed that the index successfully captured the incentives and their changes incorporated in recent social security reforms. We further estimated the association of ITAX with an individual’s decisions concerning retirement and pension benefit claims. Lastly, we conducted counterfactual simulations to assess the effect of recent social security forms on retirement based on the estimated regression parameters. The results showed that a higher ITAX drove individuals, especially men, to retire and claim benefits earlier.",https://www.nber.org/papers/w31470,31470,July 2023,NBER
FED-BOARD2023-009,Does Private Equity Over-Lever Portfolio Companies?,Sharjil Haque,"Detractors have warned that Private Equity (PE) funds tend to over-lever their portfolio companies because of an option-like payoff, building up default risk and debt overhang. This paper argues PE-ownership leads to substantially higher levels of optimal (value-maximizing) leverage, by reducing the expected cost of financial distress. Using data from a large sample of PE buyouts, I estimate a dynamic trade-off model where leverage is chosen by the PE investor. The model is able to explain both the level and change in leverage documented empirically following buyouts. The increase in optimal leverage is driven primarily by a reduction in the portfolio company’s asset volatility and, to a lesser extent, an increase in asset return. Counterfactual analysis shows significant loss in firm value if PE sub-optimally chose lower leverage. Consistent with lower asset volatility, additional tests show PE-backed firms experience lower volatility of sales and receive greater equity injections for distress resolution, compared to non PE-backed firms. Overall, my findings broaden our understanding of factors that drive buyout leverage.",https://www.federalreserve.gov/econres/feds/does-private-equity-over-lever-portfolio-companies.htm,2023-009,February 2023,FED-BOARD
NBER31463,Firms with Benefits? Nonwage Compensation and Implications for Firms and Labor Markets,"['Paige Ouimet', 'Geoffrey Tate']","Using administrative data on health insurance, retirement, and leave benefits, we find within-firm variation accounts for a dramatically lower percentage of total variation in benefits than in wages. We also document sharply higher between-firm variation in nonwage benefits than in wages. We argue that this pattern can be a consequence of nondiscrimination regulations, fairness concerns, and the high administrative burden of managing too many or complex plans. Consistent with this mechanism, we show that the presence of high-wage workers in unrelated divisions of a firm as well as workers hired in high-benefit local labor markets positively predicts their colleagues’ benefits, controlling for occupation, wages, state, and industry. We find that the resulting high benefits reduce turnover, particularly among low-wage workers, for whom the benefits comprise a larger percentage of total compensation. Moreover, firms with more generous benefits attract and retain more high-wage workers, but also reduce their reliance on low-wage workers more than low-benefit peers. Our results suggest that benefits disproportionately matter for worker-firm matching and, hence, compensation inequality.",https://www.nber.org/papers/w31463,31463,July 2023,NBER
NBER31474,Electoral College and Election Fraud,"['Georgy Egorov', 'Konstantin Sonin']","One frequently overlooked aspect of the U.S.-style electoral college system is that it discourages election fraud. In a presidential election based on the popular vote, competing political parties are motivated to manipulate votes in areas where they hold the most significant influence, such as states where they control local executive offices, legislatures, and the judiciary. However, with the electoral college system in place, the incentives for fraud shift to swing states where the local government is politically divided, and fraud is therefore more difficult and costly. Our theoretical model elucidates why the electoral college system provides more effective protection against election fraud compared to the popular vote system. While polarization makes fraud more likely, it does not affect the superiority of the electoral college system.",https://www.nber.org/papers/w31474,31474,July 2023,NBER
FED-NEWYORK1053,Is the Green Transition Inflationary?,"Marco Del Negro, Julian di Giovanni, and Keshav Dogra","We develop a two-sector New Keynesian model to analyze the inflationary effects of climate policies. Climate policies do not force a central bank to tolerate higher inflation, but may generate a tradeoff between the central bank's objectives for inflation and real activity. The presence and size of this tradeoff depends on how flexible prices are in the “dirty” and “green” sectors relative to the rest of the economy, and on whether climate policies consist of taxes or subsidies.",https://www.newyorkfed.org/research/staff_reports/sr1053.html,1053,February 2023,FED-NEWYORK
FED-BOARD2023-012,Early Joiners and Startup Performance,"Joonkyu Choi, Nathan Goldschlag, John Haltiwanger, J. Daniel Kim","We show that early joiners—non-founder employees in the first year of a startup—play a critical role in explaining firm performance. We use administrative employee-employer matched data on all US startups and utilize the premature death of workers as a natural experiment exogenously separating talent from young firms. We find that losing an early joiner has a large negative effect on firm size that persists for at least ten years. When compared to that of a founder, losing an early joiner has a smaller effect on firm death but intensive margin effects on firm size are similar in magnitude. We also find that early joiners become relatively more important with the age of the firm. In contrast, losing a later joiner yields only a small and temporary decline in firm performance. We provide evidence that is consistent with the idea that organization capital, an important driver of startup success, is embodied in early joiners.",https://www.federalreserve.gov/econres/feds/early-joiners-and-startup-performance.htm,2023-012,February 2023,FED-BOARD
BEAWP2023-2,Proof of Concept for a U.S. Air Emissions Physical Flows Account,Matthew Chambers,"Measuring the physical flows of resources and waste between the economy and environment is a central component of environmental-economic accounting as outlined in the System of Environmental-Economic Accounting (SEEA), the United Nations standard for environmental accounting.This paper presents a SEEA-consistent proof-of-concept air emissions physical flows account for the United States. Primary data on emissions come from the U.S. EPA’s Greenhouse Gas Inventory (GHGI). The proof-of-concept account covers 2012–2017 and presents tabulated emissions by industry along with examples of additional analytic indicators such as trends in industry emissions and trends in emissions per dollar value added.Primary challenges in constructing this account are (1) adjusting the GHGI data from territory- to residency-based, and (2) attributing emissions to industries and institutional sectors. In this proof-of-concept account, emissions are adjusted to a residency basis using data on the activities of U.S. resident agents abroad and are attributed to industries in proportion to related measures of activity, like fuel purchases or output.",https://www.bea.gov//research/papers/2023/proof-concept-us-air-emissions-physical-flows-account,WP2023-2,2023-04-25,BEA
NBER31516,Understanding Rationality and Disagreement in House Price Expectations,"['Zigang Li', 'Stijn Van Nieuwerburgh', 'Wang Renxuan']","Professional house price forecast data are consistent with a rational model where agents must learn about the parameters of the house price growth process and the underlying state of the housing market. Slow learning about the long-run mean can generate forecast bias, a response of forecasts to lagged realizations, sluggish response of forecasts to contemporaneous realizations, and over-reaction to forecast revisions. Introducing behavioral biases, either over-confidence or diagnostic expectations, helps the model further improve its predictions for short-horizon over-reaction and dispersion. Using panel data for a cross-section of forecasters and a term structure of forecasts are important for generating these results.",https://www.nber.org/papers/w31516,31516,July 2023,NBER
NBER31461,Regulating Transformative Technologies,"['Daron Acemoglu', 'Todd Lensman']","Transformative technologies like generative artificial intelligence promise to accelerate productivity growth across many sectors, but they also present new risks from potential misuse. We develop a multi-sector technology adoption model to study the optimal regulation of transformative technologies when society can learn about these risks over time. Socially optimal adoption is gradual and convex. If social damages are proportional to the productivity gains from the new technology, a higher growth rate leads to slower optimal adoption. Equilibrium adoption is inefficient when firms do not internalize all social damages, and sector-independent regulation is helpful but generally not sufficient to restore optimality.",https://www.nber.org/papers/w31461,31461,July 2023,NBER
FED-BOARD2023-041,End of an Era: The Coming Long-Run Slowdown in Corporate Profit Growth and Stock Returns,Michael Smolyansky,"I show that the decline in interest rates and corporate tax rates over the past three decades accounts for the majority of the period’s exceptional stock market performance. Lower interest expenses and corporate tax rates mechanically explain over 40 percent of the real growth in corporate profits from 1989 to 2019. In addition, the decline in risk-free rates alone accounts for all of the expansion in price-to-earnings multiples. I argue, however, that the boost to profits and valuations from ever-declining interest and corporate tax rates is unlikely to continue, indicating significantly lower profit growth and stock returns in the future.",https://www.federalreserve.gov/econres/feds/end-of-an-era-the-coming-long-run-slowdown-in-corporate-profit-growth-and-stock-returns.htm,2023-041,June 2023,FED-BOARD
IMFWPIEA2023152,Constructing a Positive Shock: Growth Through the Lens of Option Pricing,Mehmet Cangul,"Low-income economies face negative shocks whose frequency and disproportionate impact overcome growth trajectories, producing a negative drift. COVID-19 was the latest such episode. To escape this negative drift, and build a durable recovery, there is a need for acounter-balancing force: to construct a positive shock. Growth is realized through decisions that fall under two categories, routine and non-linear. While routine decisions modify existing economic behavior along the same path, non-linear decisions describe riskier options that involve transformation. Option pricing theory can be useful to describe the latter, and construct the positive shock required to escape the negative drift.",https://www.imf.org/en/Publications/WP/Issues/2023/07/28/Constructing-a-Positive-Shock-Growth-Through-the-Lens-of-Option-Pricing-535088,WPIEA2023152,"Fri, 28 Jul 2023 00:00:00 -0400",IMF
FED-BOARD2023-013,"Household, Bank, and Insurer Exposure to Miami Hurricanes: a flow-of-risk analysis",Benjamin N. Dennis,"We analyze possible future financial losses in the event of hurricane damage to Miami residential real estate, where the hurricane's destructiveness reflects climate-change. We focus on three scenarios: (i) a business-as-usual scenario, (ii) a Hurricane-Ian-spillovers scenario, and (iii) a cautious-markets scenario. We quantify bank exposures and loss rates, where exposures are proportional to the size of real estate markets and loss rates depend on post-hurricane devaluations and insurance coverage. This quantitative methodology could complement modeling of local economy impacts, stress on public finances, asset market losses, and other financial developments that will also affect banks.",https://www.federalreserve.gov/econres/feds/household-bank-and-insurer-exposure-to-miami-hurricanes-a-flow-of-risk-analysis.htm,2023-013,February 2023,FED-BOARD
FED-BOARD2023-028,The Effects of Volatility on Liquidity in the Treasury Market,"Andrew Meldrum, Oleg Sokolinskiy","We study the relationship between volatility and liquidity in the market for on-the-run Treasury securities using a novel framework for quantifying price impact. We show that at times of relatively low volatility, marginal trades that go with the flow of existing trades tend to have a smaller price impact than trades that go against the flow. However, this difference tends to diminish at times of high volatility, indicating that the perceived information content of going against the flow is less when volatility is high. We also show that market participants executing trades aggressively using market orders will experience larger increases in price impact than those executing trades passively using limit orders as volatility increases. And times of low market depth are associated with increased risk of high price impact and high sensitivity to volatility in future, perhaps because liquidity is more reliant on high-speed quote replenishment and is therefore more fragile.",https://www.federalreserve.gov/econres/feds/the-effects-of-volatility-on-liquidity-in-the-treasury-market.htm,2023-028,May 2023,FED-BOARD
NBER31483,The Expansionary and Contractionary Supply-Side Effects of Health Insurance,"['Eilidh Geddes', 'Molly Schnell']","We examine how health insurance expansions affect the entry and location decisions of health care clinics. Exploiting county-level changes in insurance coverage following the Affordable Care Act and 1,721 retail clinic entries and exits, we find that local increases in insurance coverage do not lead to growth in the concentration of clinics on average using two-way fixed effects and instrumental variable designs. However, this null effect masks important heterogeneity by insurance type: growth in private insurance leads to large growth in clinic entry, whereas clinic penetration is dampened by increases in Medicaid coverage. Consistent with a model in which firms face demand from markets with both administered and market-based pricing, we find that the positive (negative) supply-side effects of private insurance (Medicaid) coverage are concentrated in states with low provider reimbursements under Medicaid. We further show that similar location patterns are observed among other types of health care clinics, including urgent care centers. While it has long been accepted that reductions in the prices paid by consumers following insurance expansions should lead the supply side to expand to meet increased demand (Arrow, 1963), our results demonstrate that whether health insurance expansions cause the supply side to expand or contract further depends on how the prices received by providers are affected.",https://www.nber.org/papers/w31483,31483,July 2023,NBER
