Title,Author,Abstract,Link,Number,Date,Source,est_PubDate
"The ""plucking"" model of the unemployment rate floor: cross-country estimates and empirics", Jing Lian Suah,"The unemployment rates (u-rates) of 19 economies (10 advanced and 9 emerging) demonstrate properties consistent with the plucking model. That the amplitude of expansions and subsequent contractions are unrelated, but that the deeper the contraction, the greater the subsequent expansion. The plucking model, which suggests that the u-rate hovers at or above a theoretical floor, has implications for the unemployment-inflation trade-off as well as shock propagation mechanisms, including the effects of policy shocks.",https://www.bis.org/publ/work1159.htm,https://www.bis.org/publ/work1159,1/10/2024,BIS,1/11/2024
Market-Based Estimates of the Natural Real Rate: Evidence from Latin American Bond Markets,"Luis Ceballos, Jens H. E. Christensen, Damian Romero","We provide market-based estimates of the natural real rate, that is, the steady-state short-term real interest rate, for Brazil, Chile, and Mexico. Our approach uses a dynamic term structure finance model estimated directly on the prices of individual inflation indexed bonds with adjustments for bond-specific liquidity and real term premia. First, we find that inflation-indexed bond liquidity premia in all three countries are sizable with significant variation. Second, we find large differences in their estimated equilibrium real rates: Brazil’s is large and volatile, Mexico’s is stable but elevated, while Chile’s is low and has fallen persistently. Although uncertain, our estimates could have important implications for the conduct of monetary policy in these three countries.",https://www.frbsf.org/economic-research/publications/working-papers/2024/01/,2024-01,12/1/2023,FED-SANFRANCISCO,1/11/2024
How Do Consumers Use Firm Disclosure? Evidence from a Randomized Field Experiment,"Sinja Leonelli, Maximilian Muhn, Thomas Rauter, Gurpal Sran","We combine a large-scale field experiment with a customized survey to study whether and how consumers use firm disclosure. In a sample of more than 24,000 U.S. households, we first establish several stylized facts: (i) the average consumer has a moderate preference to purchase from ESG-responsible firms; (ii) consumers typically have no preference for more or less profitable firms; (iii) consumers rarely consult ESG reports and virtually never use financial reports to inform their purchase decisions. In our field experiment, we then inform households about real firm-disclosed profitability and ESG activities through seven randomized information treatments. Consumers increase their purchase intent when exogenously presented with firm-disclosed positive signals about environmental, social, and—to a lesser extent—governance activities. Full ESG reports only have an impact on consumers who choose to view them, whereas financial reports and earnings information do not have an effect. After the experiment, consumers increase their actual product purchases, but these effects are small, short-lived, and only materialize for viewed ESG reports and positive social signals. Through a follow-up survey, we provide explanations for why consumers (do not) change their shopping behavior after our information experiment.",https://bfi.uchicago.edu/working-paper/how-do-consumers-use-firm-disclosure-evidence-from-a-randomized-field-experiment/,4/1/2024,9-Jan-24,BFI,1/11/2024
Market power in banking,"Elena Carletti, Agnese Leonello, Robert Marquez","Bank market power, both in the loan and deposit market, has important implications for credit provision and for financial stability. This article discusses these issues through the lens of a simple theoretical framework. On the asset side, banks choose the quality and quantity of loans. On the liability side, they may be subject to depositor runs whenever they offer demandable contracts. This structure allows us to review the literature on the role of market power for credit provision and stability and also highlight the interactions between the two sides of banks’ balance sheets. Our approach identifies relevant channels that deserve further analysis, especially given the rising importance of bank market power for monetay policy transmission and the the rise of the digital economy.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2886~469beaf9b7.en.pdf?bbb021167cdb0513815f98b3551a5af3,2886,10-Jan-24,ECB,1/11/2024
Inequality and the zero lower bound," Jesús Fernández-Villaverde, Joël Marbet, Galo Nuño Barrau, Omar Rachedi","We find two main results. First, negative effects of a contractionary shock at the ZLB fall disproportionately on wealth-poor households, exacerbating inequality. Second, inequality makes monetary policy non-neutral in the long run to a significant extent...",https://www.bis.org/publ/work1160.htm,https://www.bis.org/publ/work1160,1/11/2024,BIS,1/11/2024
Supply chain disruption and energy supply shocks: impact on euro area output and prices,Roberto A. De Santis,"We identify jointly supply chain disruptions shocks and energy supply shocks together with demand shocks using a structural BVAR with narrative restrictions. The impact of adverse supply chain disruption shocks on inflation expectations and core HICP is strong and rather persistent, while the impact is small and transitory after energy supply shocks. Supply chain disruption shocks and favourable demand shocks explain the large faction of output fluctuations in the 2020-2022 period. The dynamics of core prices and inflation expectations are instead mostly explained by supply chain disruption shocks and to a lesser extent by adverse energy supply shocks.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2884~7f960ce21b.en.pdf?c496f7a9118da0bddaa5a8e1317e36bb,2884,9-Jan-24,ECB,1/11/2024
Getting to Know GMMET: The Global Macroeconomic Model for the Energy Transition,"Benjamin Carton, Christopher Evans, Dirk V Muir, Simon Voigts","This paper presents GMMET, the Global Macroeconomic Model for the Energy Transition, and provides documentation of the model structure, data sources and model properties. GMMET is a large-scale, dynamic, non-linear, microfounded multicountry model whose purpose is to analyze the short- and medium-term macroeconomic impact of curbing greenhouse gas (GHG) emissions. The model provides a detailed description of GHG-emitting activities (related to both fossil fuel and non-fossil-fuel processes) and their interaction with the rest of the economy. To better capture real world obstacles of the energy transition, GMMET features a granular modelling of electricity generation (capturing the intermittency of renewables), transportation (capturing network externalities between charging stations and electric vehicle adoption), and fossil fuel mining (replicating estimated supply elasticities at various time horizons). The model also features a rich set of policy tools for the energy transition, including taxation of GHG emissions, various subsidies, and regulations.",https://www.imf.org/en/Publications/WP/Issues/2023/12/22/Getting-to-Know-GMMET-The-Global-Macroeconomic-Model-for-the-Energy-Transition-542845,WPIEA2023269,"Fri, 22 Dec 2023 ",IMF,1/12/2024
Behavioral lock-in: aggregate implications of reference dependence in the housing market,"Cristian Badarinza, Tarun Ramadorai, Juhana Siljander and Jagdish Tripathy","We study the aggregate implications of reference dependent and loss averse preferences in the housing market. Motivated by micro evidence, we embed optimizing homeowners with these preferences into a dynamic search and matching equilibrium model with rich heterogeneity and realistic constraints. We assess the model using large and granular administrative data tracking buyers and sellers in the UK housing market; the predictions match regional and time variation in price growth and transaction volumes. The model shows that behavioral frictions in a decentralized market can link nominal quantities with real outcomes; and reveals that the distribution of potential nominal gains in the housing market is a key policy-relevant statistic.",https://www.bankofengland.co.uk/working-paper/2024/behavioral-lock-in-aggregate-implications-of-reference-dependence-in-the-housing-market,1054,"Fri, 12 Jan 2",BOE,1/12/2024
The Effects of Credit Score Migration on Subprime Auto Loan and Credit Card Delinquencies,"John Driscoll, Jessica Flagg, Bradley Katcher, and Kamila Sommer","In the early stages of the pandemic, income support and forbearance programs led consumer loan delinquency rates to fall to near-record lows for borrowers across the credit score distribution. Since the second half of 2021, however, delinquency rates have risen, and by 2023:Q3, overall rates for auto and credit card loans had risen above their pre-pandemic levels.",https://doi.org/10.17016/2380-7172.3419,1.01702E+18,12-Jan-24,FED-BOARD-NOTES,1/12/2024
The New York Fed DSGE Model: A Post-Covid Assessment,"Marco Del Negro, Keshav Dogra, Aidan Gleich, Pranay Gundam, Donggyu Lee, Ramya Nallamotu, and Brian Pacula","We document the real-time forecasting performance for output and inflation of the New York Fed dynamic stochastic general equilibrium (DSGE) model since 2011. We find the DSGE's accuracy to be comparable to that of private forecasters before Covid, but somewhat worse thereafter.",https://www.newyorkfed.org//research/staff_reports/sr1082,1082,1/10/2024,FED-NEWYORK,1/12/2024
Did the U.S. Really Grow Out of Its World War II Debt?,"Julien Acalin, Laurence M. Ball",Summary:,https://www.imf.org/en/Publications/WP/Issues/2024/01/12/Did-the-U-S-542865,WPIEA2024005,"Fri, 12 Jan 2024 ",IMF,1/13/2024
Searching for Wage Growth: Policy Responses to the “New Machine Age”,"Andrew Berg, Edward F Buffie, Mariarosaria Comunale, Chris Papageorgiou, Luis-Felipe Zanna","The current wave of technological revolution is changing the way policies work. This paper examines the growth and distributional implications of three policies when “robot'' capital (a broad definition of robots, Artificial Intelligence, computers, big data, digitalization, networks, sensors and servos) is introduced in a neoclassical growth model. 1) cuts to the corporate tax rate; 2) increases in education spending; and 3) increases in infrastructure investment. We find that incorporating “robot'' capital into the model does make a big difference to policy outcomes: the trickle-down effects of corporate tax cuts on unskilled wages are attenuated, and the advantages of investment in infrastructure, and especially in education, are bigger. Based on our calibrations grounded on new empirical estimates, infrastructure investment and corporate tax cuts dominate investment in education in a ""traditional"" economy. However, in an economy with “robots” the infrastructure investment dominates corporate tax cuts, while investment in education tends to produce the highest welfare gains of all. The specific results, of course, may depend on the exact modeling of the technological change, but our main results remain valid and can provide more accurate welfare rankings.",https://www.imf.org/en/Publications/WP/Issues/2024/01/12/Searching-for-Wage-Growth-Policy-Responses-to-the-New-Machine-Age-542873,WPIEA2024003,"Fri, 12 Jan 2024 ",IMF,1/13/2024
Monetary Policy Pass-Through to Interest Rates: Stylized Facts from 30 European Countries,"Robert C. M. Beyer, Ruo Chen, Florian Misch, Claire Li, Ezgi O. Ozturk, Lev Ratnovski","The extent to which changes in monetary policy rates lead to changes in loan and deposit rates for households and firms, referred to as ‘pass-through’, is an important ingredient of monetary policy transmission to output and prices. Using data on seven different bank interest rates in 30 European countries, different approaches, and the full sample as well as a subsample of euro area countries, we show that a) the pass-through in the post-pandemic hiking cycle has been heterogenous across countries and types of interest rates; b) the pass-through has generally been weaker and slower, except for rates of non-financial corporation loans and time deposits in euro area countries; c) differences in pass-through over time and across countries for most deposit rates are correlated with financial sector concentration, liquidity, and loan opportunities, and d) the effects of pass-through to outstanding mortgage rates on monetary transmission on prices and output are heterogenous across countries.",https://www.imf.org/en/Publications/WP/Issues/2024/01/12/Monetary-Policy-Pass-Through-to-Interest-Rates-Stylized-Facts-from-30-European-Countries-543715,WPIEA2024009,"Fri, 12 Jan 2024 ",IMF,1/13/2024
Energy Security and The Green Transition,"Jaden Kim, Augustus J Panton, Gregor Schwerhoff","The current energy crisis has raised important policy questions on how to strengthen short-term energy security while remaining firmly committed to the green transition, a challenge amplified by the recent consensus at COP28 to transition away from fossil fuels. This paper examines the historical determinants of the security of energy supply and analyzes the green transition implications for energy security. Looking back, we find that the diversification of energy trade partners, or the lack thereof, was the main factor that underpinned energy security dynamics within and across countries over the last two decades. Looking ahead, the green transition is expected to have a net positive effect on energy security provided investments are aligned to address new challenges posed by the increased reliance on renewables.",https://www.imf.org/en/Publications/WP/Issues/2024/01/12/Energy-Security-and-The-Green-Transition-543806,WPIEA2024006,"Fri, 12 Jan 2024 ",IMF,1/13/2024
Costly Increases in Public Debt when r < g,"Yongquan Cao, Vitor Gaspar, Adrian Peralta Alva","This paper quantifies the costs of a permanent increase in debt to GDP. We employ a deterministic, overlapping generations model with two assets and no risk of default. The two assets are public debt and private (productive) capital. We assume that the return on private capital equals the interest rate on public debt plus an exogenously given spread. Employing a analytical version of the model we show an example in which a permanent rise in the public debt ratio leads to a significant reduction in steady-state GDP even as r",https://www.imf.org/en/Publications/WP/Issues/2024/01/12/Costly-Increases-in-Public-Debt-when-r-g-543718,WPIEA2024010,"Fri, 12 Jan 2024 ",IMF,1/13/2024
What Caused the Beveridge Curve to Shift Higher in the United States During the Pandemic?,"Gene Kindberg-Hanlon, Michael Girard","The Beveridge curve shifted substantially higher in the United States following the start of the COVID pandemic. In 2022, vacancies reached record highs across all sectors while unemployment fell to pre-pandemic lows. At the same time, the pandemic has resulted in severe labor shortages, and we estimate that the labor force was approximately 2 million below trend at the start of 2023. We exploit state-level data in the United States to find that lower immigration, higher excess mortality due to COVID, and falling older-worker labor force participation were associated with larger upward shifts in the Beveridge curve. We also find that states that had a larger employment concentration in contact-intensive sectors had larger upward shifts in their Beveridge curve. While the effect of sectoral reallocation and rehiring has been shown in theoretical models to lift the Beveridge curve, we show that worker shortages also result in an upward shift in the Beveridge curve if they increase the marginal product of labor. This result holds in a search and matching model with on-the-job search, but does not hold without on-the-job search.",https://www.imf.org/en/Publications/WP/Issues/2024/01/12/What-Caused-the-Beveridge-Curve-to-Shift-Higher-in-the-United-States-During-the-Pandemic-542870,WPIEA2024008,"Fri, 12 Jan 2024 ",IMF,1/13/2024
Digitalization and Employment Gender Gaps During the COVID-19 Pandemic: Evidence from Latin America,"Yuanchen Yang, Manuk Ghazanchyan, Silvia Granados-Ibarra, Gustavo Canavire-Bacarreza","Despite its negative effects, the COVID-19 pandemic has also accelerated Latin America's digitalization. The rapid increase in connectivity and digital services was helpful in mitigating the pandemic's negative impact on the labor markets, especially for those with enough flexibility to continue working from home. The shock has particularly affected women due to their household responsibilities and labor market characteristics. This paper examines how digitalization may have affected gender gaps in employment and job loss related to the COVID-19 crisis. Using a sample of Latin American countries, our findings suggest that higher levels of digitalization are associated with increased female employment and reduced job loss for both men and women. These findings hold even after controlling for factors such as child care, household chores, and the COVID-19 shock. Our results are also robust to various econometric techniques.",https://www.imf.org/en/Publications/WP/Issues/2024/01/12/Digitalization-and-Employment-Gender-Gaps-During-the-COVID-19-Pandemic-Evidence-from-Latin-543709,WPIEA2024012,"Fri, 12 Jan 2024 ",IMF,1/13/2024
Dissecting the Decline in Average Hours Worked in Europe,"Diva Astinova, Romain A Duval, Niels-Jakob H Hansen, Ben Park, Ippei Shibata, Frederik G Toscani","Three years after the COVID-19 crisis, employment and total hours worked in Europe fully recovered, but average hours per worker did not. We analyze the decline in average hours worked across European countries and find that (i) it is not cyclical but predominantly structural, extending a long-term trend that predates COVID-19, (ii) it mainly reflects reduced hours within worker groups, not a compositional shift towards lower-hours jobs and workers, (iii) men—particularly those with young children—and youth drive this drop, (iv) declines in actual hours match declines in desired hours. Policy reforms could help involuntary parttimers and women with young children raise their actual hours towards desired levels, but the aggregate impact on average hours would be limited to 0.5 to 1.5 percent. Overall, there is scant evidence of slack at the intensive margin in European labor markets, and the trend fall in average hours worked seems unlikely to reverse.",https://www.imf.org/en/Publications/WP/Issues/2024/01/10/Dissecting-the-Decline-in-Average-Hours-Worked-in-Europe-542417,WPIEA2024002,"Fri, 12 Jan 2024 ",IMF,1/13/2024
Automation and Welfare: The Role of Bequests and Education,"Manuk Ghazanchyan, Alexei Goumilevski, Alex Mourmouras","This paper examines the welfare effects of automation in neoclassical growth models with and without intergenerational transfers. In a standard overlapping generations model without such transfers, improvements in automation technologies that would lower welfare can be mitigated by shifts in labor supply related to demographics or pandemics. With perfect intergenerational transfers based on altruism, automation could raise the well-being of all generations. With imperfect altruism, fiscal transfers (universal basic income) and public policies to expand access to education opportunities can alleviate much of the negative effect of automation.",https://www.imf.org/en/Publications/WP/Issues/2024/01/12/Automation-and-Welfare-The-Role-of-Bequests-and-Education-543706,WPIEA2024011,"Fri, 12 Jan 2024 ",IMF,1/13/2024
"Slowdown in Immigration, Labor Shortages, and Declining Skill Premia","Federico S. Mandelman, Yang Yu, Francesco Zanetti, and Andrei Zlate"," The authors document a slowdown in low-skilled immigration that started during the Great Recession, and they link it to labor shortages in service-related jobs and a decline in the college premium. This decline reduced the incentive for education and reduced labor productivity over time.",https://www.atlantafed.org/research/publications/wp/2024/01/16/01--slowdown-in-immigration-labor-shortages-and-declining-skill-premia?item=c5c5b305-ba4e-4135-8ca7-e5cea28a30a3,2024-1,"Tuesday, 16 Jan 2024",FED-ATLANTA,1/16/2024
Stated Preference Estimates of the Average Social Cost of Carbon,"Matthew Ashenfarb, Matthew Kotchen","This paper provides stated preference (SP) estimates of the average social cost of carbon (ASCC) for use in evaluation of the benefits and costs of climate policy. Based on a U.S. nationally representative survey, we find an average individual willingness-to-pay (WTP) of $1,116 per year to keep global warming less than 2°C by 2100 compared to a business-as-usual temperature change. Combining the WTP estimate with population projections and assessments of the required emission reductions, we find a domestic ASCC of $8 per tonne of carbon dioxide (CO2). Applying a benefits transfer approach to infer WTP in other countries, we obtain an estimate of the global ASCC of $39 per tonne, with a 95-percent confidence interval of $32-$48. The estimate is insensitive to the discount rate, but it does vary with assumptions about the income elasticity of WTP and the rate of change in marginal abatement costs. Reasonable scenarios create a range of estimates between $12-$118 per tonne. We also examine the impact of distributional weighting based on the elasticity of the marginal utility of income, providing distributionally-weighted estimates of the global ASCC for use in all countries. We argue that a SP estimate of the ASCC is an useful complement to existing estimates of the marginal social cost of carbon (SCC) based on different valuation approaches.",https://www.nber.org/papers/w32043,32043,24-Jan,NBER,1/16/2024
What Works and For Whom? Effectiveness and Efficiency of School Capital Investments Across The U.S.,"Barbara Biasi, Julien M. Lafortune, David Schönholzer","This paper identifies which investments in school facilities help students and are valued by homeowners. Using novel data on school district bonds, test scores, and house prices for 29 U.S. states and a research design that exploits close elections with staggered timing, we show that increased school capital spending raises test scores and house prices on average. However, impacts differ vastly across types of funded projects. Spending on basic infrastructure (such as HVAC) or on the removal of pollutants raises test scores but not house prices; conversely, spending on athletic facilities raises house prices but not test scores. Socio-economically disadvantaged districts benefit more from capital outlays, even conditioning on project type and the existing capital stock. Our estimates suggest that closing the spending gap between high- and low-SES districts and targeting spending towards high-impact projects may close as much as 25% of the observed achievement gap between these districts.",https://www.nber.org/papers/w32040,32040,24-Jan,NBER,1/16/2024
Uncertainty and Individual Discretion in Allocating Research Funds,"Anna Goldstein, Michael Kearney","There is a long-standing tradition in public research funding agencies of distributing funds via peer review, which aggregates evaluations of proposed research ideas from a group of external experts. Despite complaints that this process is biased against novel ideas, there is poor understanding of an alternative system that may overcome this bias: the use of individual discretion. Here, we conduct the first quantitative study of how individual discretion affects a research funding portfolio. Using internal project selection data from the Advanced Research Projects Agency-Energy (ARPA-E), we describe how a portfolio of projects selected by individual discretion differs from a portfolio of projects selected by traditional peer review. We show that ARPA-E program directors tend to fund proposals with greater disagreement among experts, and they also appear to prefer proposals described in reviewer comments as “creative.” These choices do not result in a significant tradeoff with short-term project performance, and they enable ARPA-E to fund more uncertain and creative research ideas, which supports the agency’s mission of pursuing novel ideas for transformational energy technology.",https://www.nber.org/papers/w32033,32033,24-Jan,NBER,1/16/2024
Monetary-fiscal policy interactions when price stability occasionally takes a back seat,Sebastian Schmidt,"What are the macroeconomic consequences of a government that is limited in its willingness or ability to raise primary surpluses, and a central bank that accommodates its interest-rate policy to the fiscal conditions? I address this question in a dynamic stochastic sticky-price model with endogenous shifts between an “orthodox” and a “fiscally-dominant” policy regime. The risk of future regime shifts has encompassing effects on equilibrium. Inflation is systematically higher than it would be if fiscal policy always adjusted its primary surplus sufficiently and monetary policy was solely concerned with price stability. This inflation bias is increasing in the real value of government debt. Regime-switching probabilities are not invariant to policy. The central bank can attenuate the risk of a shift to the fiscally-dominant regime by raising the real interest rate sufficiently moderately when inflation increases. Lower fiscal dominance risk, in turn, mitigates the inflation bias.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2889~b14c2f4ff1.en.pdf?a9dcca2393ecfb37818e4298f96143f5,2889,16-Jan-24,ECB,1/16/2024
Local Variation in Onsite Work during the Pandemic and its Aftermath,"Katharine G. Abraham, Mohammad Ashoori, Aref Darzi, Nathalie Gonzalez-Prieto, John C. Haltiwanger, Aliakbar Kabiri, Erkut Y. Ozbay","Using longitudinal data on the location of mobile devices, we provide new evidence on the evolution of onsite work (OSW) over the course of the pandemic and its aftermath. We start with a large sample of individuals who, based on their mobile device activity, had a job at which they worked onsite in February 2020. We track the evolution of these individuals’ onsite work activity over the following thirteen to fourteen months, observing them in May 2020, August 2020, November 2020 and March/April 2021. Consistent with other evidence, we find a dramatic decline in OSW in May 2020 followed by a substantial rebound by the spring of 2021, albeit to a lower level than in February 2020. We document considerable cross-state, cross-city and cross-county variation in OSW. We also find, however, that the tract-level variation in OSW within states, cities and even counties far exceeds the variation across larger geographic areas. Observable characteristics such as industry, occupation, education and income account for much of the variation in OSW across large geographic areas since the pandemic. These same variables account for much of the enormous cross-tract variation in OSW that remains after controlling for state or county, but more than half of the cross-tract variation is accounted for by residual factors. These findings imply considerable heterogeneity in how the pandemic has affected where the resident populations of U.S. neighborhoods spend their days, a finding that has significant implications for businesses, workers, and policymakers.",https://www.nber.org/papers/w32042,32042,24-Jan,NBER,1/16/2024
Central bank digital currency: when price and bank stability collide,"Jesús Fernández-Villaverde, Linda Schilling, Harald Uhlig","This paper shows the existence of a central bank trilemma. When a central bank is involved in financial intermediation, either directly through a central bank digital currency (CBDC) or indirectly through other policy instruments, it can only achieve at most two of three objectives: a socially eÿcient allocation, financial stability (i.e., absence of runs), and price stability. In particular, a commitment to price stability can cause a run on the central bank. Implementation of the socially optimal allocation requires a commitment to inflation. We illustrate this idea through a nominal version of the Diamond and Dybvig (1983) model. Our perspective may be particularly appropriate when CBDCs are introduced on a wide scale.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2888~a557bfafbb.en.pdf?067788a327b36dc17a397fa849c3c0ed,2888,15-Jan-24,ECB,1/16/2024
Homeward Bound: How Migrants Seek Out Familiar Climates,"Marguerite Obolensky, Marco Tabellini, Charles Taylor","This paper introduces the concept of “climate matching” as a driver of migration and establishes several new results. First, we show that climate strongly predicts the spatial distribution of immigrants in the US, both historically (1880) and more recently (2015), whereby movers select destinations with climates similar to their place of origin. Second, we analyze historical flows of German, Norwegian, and domestic migrants in the US and document that climate sorting also holds within countries. Third, we exploit variation in the long-run change in average US climate from 1900 to 2019 and find that migration increased more between locations whose climate converged. Fourth, we verify that results are not driven by the persistence of ethnic networks or other confounders, and provide evidence for two complementary mechanisms: climate-specific human capital and climate as amenity. Fifth, we back out the value of climate similarity by: i) exploiting the Homestead Act, a historical policy that changed relative land prices; and, ii) examining the relationship between climate mismatch and mortality. Finally, we project how climate change shapes the geography of US population growth by altering migration patterns, both historically and into the 21st century.",https://www.nber.org/papers/w32035,32035,24-Jan,NBER,1/16/2024
"The Modern Wholesaler: Global Sourcing, Domestic Distribution, and Scale Economies",Sharat Ganapati,"Nearly half of all transactions in the $5 trillion market for manufactured goods in the United States were intermediated by wholesalers in 2012, up from 32 percent in 1992. Seventy percent of this increase is due to the growth of “superstar” firms - the largest one percent of wholesalers. Estimates based on detailed administrative data show that the rise of the largest firms was driven by an intuitive linkage between their sourcing of goods from abroad and an expansion of their domestic distribution network to reach more buyers. Both elements require scale economies and lead to increased wholesaler market shares and markups. Counterfactual analysis shows that despite increases in wholesaler market power and markups, scale has benefits. Buyers gain access to globally sourced varieties, nationwide distribution networks, and increased quality while wholesalers decrease their marginal costs.",https://www.nber.org/papers/w32036,32036,24-Jan,NBER,1/16/2024
Bootstrap Diagnostics for Irregular Estimators,"Isaiah Andrews, Jesse M. Shapiro","Empirical researchers frequently rely on normal approximations in order to summarize and communicate uncertainty about their findings to their scientific audience. When such approximations are unreliable, they can lead the audience to make misguided decisions. We propose to measure the failure of the conventional normal approximation for a given estimator by the total variation distance between a bootstrap distribution and the normal distribution parameterized by the point estimate and standard error. For a wide class of decision problems and a class of uninformative priors, we show that a multiple of the total variation distance bounds the mistakes which result from relying on the conventional normal approximation. In a sample of recent empirical articles that use a bootstrap for inference, we find that the conventional normal approximation is often poor. We suggest and illustrate convenient alternative reports for such settings.",https://www.nber.org/papers/w32038,32038,24-Jan,NBER,1/16/2024
The Impact of Comprehensive Student Support on Crime: Evidence from the Pathways to Education Program,"Adam M. Lavecchia, Philip Oreopoulos, Noah Spencer","This study finds substantial reductions to criminal activity from the introduction of a comprehensive high school support program for disadvantaged youth living in the largest public housing project in Toronto. The program, called Pathways to Education, bundles supports such as regular coaching, tutoring, group activities, free public transportation tickets and bursaries for postsecondary education. In this paper, we use a difference-in-differences approach that compares students living in public housing communities where the program was offered to those living in communities where the program was not offered over time. We find that eligibility for Pathways reduces the likelihood of being charged with a crime by 32 percent at its Regent Park location. This effect is driven by a reduction in charges for breaking and entering, theft, mischief, other traffic offenses and Youth Criminal Justice Act offenses.",https://www.nber.org/papers/w32045,32045,24-Jan,NBER,1/16/2024
Destabilisation of bank deposits across destinations: assessment and policy implications,"Ulrich Bindseil, Richard Senner","Rapid and large deposit outflows from banks have regained attention in the context of the March 2023 demises of Credit Suisse, SVB and other regional US banks. Moreover, the possible introduction of CBDC or a marked success of stablecoins are perceived as additional clouds over the future of deposit funding. While the bank run literature rarely pays attention to where bank deposits can flow to, this paper distinguishes the different flow of funds mechanics across all possible destinations and reviews for each the current and prospective future factors that may contribute to the observed increase of the speed and size of bank runs. While some of these factors can be contained through policy measures, others, like the intensified competition between banks will inevitably stay, and bank balance sheet management and liquidity regulation need to accept the new normal of somewhat less stable and more expensive sight deposits.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2887~845e136b3b.en.pdf?e8515accd3d688ab48f11176a9c93da4,2887,15-Jan-24,ECB,1/16/2024
Intergenerational Mobility and Credit,"J. Carter Braxton, Nisha Chikhale, Kyle F. Herkenhoff, Gordon M. Phillips","We combine the Decennial Census, credit reports, and administrative earnings to create the first panel dataset linking parent’s credit access to the labor market outcomes of children in the U.S. We find that a 10% increase in parent’s unused revolving credit during their children’s adolescence (13 to 18 years old) is associated with 0.28% to 0.37% greater labor earnings of their children during early adulthood (25 to 30 years old). Using these empirical elasticities, we estimate a dynastic, defaultable debt model to examine how the democratization of credit since the 1970s – modeled as both greater credit limits and more lenient bankruptcy – affected intergenerational mobility. Surprisingly, we find that the democratization of credit led to less intergenerational mobility and greater inequality. Two offsetting forces underlie this result: (1) greater credit limits raise mobility by facilitating borrowing and investment among low-income households; (2) however, more lenient bankruptcy policy lowers mobility since low-income households dissave, hit their constraints more often, and reduce investments in their children. Quantitatively, the democratization of credit is dominated by more lenient bankruptcy policy and so mobility declines between the 1970s and 2000s.",https://www.nber.org/papers/w32031,32031,24-Jan,NBER,1/16/2024
"Fiscal Stimulus, Deposit Competition, and the Rise of Shadow Banking: Evidence from China","Viral V. Acharya, Qian Jun, Yang Su, Zhishu Yang","The rise of shadow banking and attendant financial fragility in China can be traced to intensified deposit competition following the global financial crisis (GFC). Deposit competition intensified after the GFC because the GFC slowed down banks’ deposit growth from cross-border money inflows and simultaneously led to fiscal stimulus supported by banks’ credit expansion. Exploiting the fact that one big state-owned bank was particular affected by the GFC through these two channels, we document—by exploring small and medium-sized banks’ branch-level overlap with this big bank—that deposit competition increased banks’ reliance on shadow banking. In particular, exposed banks issued Wealth Management Products (WMPs)—short-maturity, off-balance-sheet substitutes for deposits—creating rollover risks for the issuers, as reflected by higher yields on new WMPs, higher borrowing rates in the interbank market, and lower stock-market performance during liquidity stress.",https://www.nber.org/papers/w32034,32034,24-Jan,NBER,1/16/2024
Global Bank Lending and Exchange Rates," Jonas Becker, Maik Schmeling, Andreas Schrimpf","We estimate the impact of banks' cross-currency lending on exchange rates to shed light on the importance of flows as a major force affecting FX market outcomes. When non-US banks extend more loans in US dollars (USD) relative to US banks  originating foreign currency-denominated loans, the USD appreciates significantly.",https://www.bis.org/publ/work1161.htm,https://www.bis.org/publ/work1161,1/15/2024,BIS,1/16/2024
A Scalable Approach to High-Impact Tutoring for Young Readers: Results of a Randomized Controlled Trial,"Kalena Cortes, Karen Kortecamp, Susanna Loeb, Carly Robinson","This paper presents the results from a randomized controlled trial of Chapter One, an early elementary reading tutoring program that embeds part-time tutors into the classroom to provide short bursts of 1:1 instruction. Eligible kindergarten students were randomly assigned to receive supplementary tutoring during the 2021-22 school year (N=818). The study occurred in a large Southeastern district serving predominantly Black and Hispanic students. Students assigned to the program were over two times more likely to reach the program’s target reading level by the end of kindergarten (70% vs. 32%). The results were largely homogenous across student populations and extended to district-administered assessments. These findings provide promising evidence of an affordable and sustainable approach for delivering personalized reading tutoring at scale.",https://www.nber.org/papers/w32039,32039,24-Jan,NBER,1/16/2024
The Role of Friends in the Opioid Epidemic,"Effrosyni Adamopoulou, Jeremy Greenwood, Nezih Guner, Karen Kopecky","The role of friends in the US opioid epidemic is examined. Using data from the National Longitudinal Survey of Adolescent Health (Add Health), adults aged 25-34 and their high school best friends are focused on. An instrumental variable technique is employed to estimate peer effects in opioid misuse. Severe injuries in the previous year are used as an instrument for opioid misuse in order to estimate the causal impact of someone misusing opioids on the probability that their best friends also misuse. The estimated peer effects are significant: Having a best friend with a reported serious injury in the previous year increases the probability of own opioid misuse by around 7 percentage points in a population where 17 percent ever misuses opioids. The effect is driven by individuals without a college degree and those who live in the same county as their best friends.",https://www.nber.org/papers/w32032,32032,24-Jan,NBER,1/16/2024
